Time (s),ax,ay,az,gx,gy,gz
7.15290067,-1.528050065,-14.98305035,1.009950042,-1.07249999,2.956662416,-0.2461249977
7.17290067,-1.528050065,-14.98305035,1.009950042,-1.07249999,2.956662416,-0.2461249977
7.19290067,-1.528050065,-14.98305035,1.009950042,-1.07249999,2.956662416,-0.2461249977
7.21290067,-1.528050065,-14.98305035,1.009950042,-1.07249999,2.956662416,-0.2461249977
7.23290067,-3.136950254,-8.683050156,1.795050144,0.4538874924,0.2480500042,1.548799992
7.25290067,-3.136950254,-8.683050156,1.795050144,0.4538874924,0.2480500042,1.548799992
7.27290067,-3.136950254,-8.683050156,1.795050144,0.7295749784,-0.2711499929,1.595549941
7.29290067,-3.136950254,-8.683050156,1.795050144,0.7295749784,-0.2711499929,1.595549941
7.31290067,-3.136950254,-8.683050156,1.795050144,0.7295749784,-0.2711499929,1.595549941
7.33290067,-1.948950052,-8.683050156,1.411950111,0.7295749784,-0.2711499929,1.595549941
7.35290067,-1.948950052,-8.683050156,1.411950111,0.7295749784,-0.2711499929,1.595549941
7.37290067,-1.948950052,-8.683050156,1.411950111,0.7295749784,-0.2711499929,1.595549941
7.39290067,-1.948950052,-8.683050156,1.411950111,0.7295749784,-0.2711499929,1.595549941
7.41290067,-1.948950052,-8.683050156,1.411950111,0.7295749784,-0.2711499929,1.595549941
7.43290067,-1.948950052,-8.683050156,1.411950111,0.7295749784,-0.2711499929,1.595549941
7.45290067,-1.948950052,-8.683050156,1.411950111,0.7295749784,-0.2711499929,1.595549941
7.47290067,4.924050331,-10.19595051,1.068000078,0.2036374956,2.845424891,-1.161599994
7.49290067,4.924050331,-10.19595051,1.068000078,0.2036374956,2.845424891,-1.161599994
7.51290067,6.054000378,-8.089950562,1.738050103,-0.07961250097,4.272812366,-2.562862396
7.53290067,6.054000378,-8.089950562,1.738050103,-0.07961250097,4.272812366,-2.562862396
7.55290067,6.054000378,-8.089950562,1.738050103,-0.07961250097,4.272812366,-2.562862396
7.57290067,2.875050068,-12.85800076,0.8760000467,-0.6139374971,5.040887356,-3.246512413
7.59290067,2.875050068,-12.85800076,0.8760000467,-0.6139374971,5.040887356,-3.246512413
7.61290067,2.875050068,-12.85800076,0.8760000467,-0.5344625115,3.908025026,-2.310687542
7.63290067,2.875050068,-12.85800076,0.8760000467,-0.5344625115,3.908025026,-2.310687542
7.65290067,2.875050068,-12.85800076,0.8760000467,-0.5344625115,3.908025026,-2.310687542
7.67290067,-0.4170000255,-9.660000801,-1.363050103,-0.5344625115,3.908025026,-2.310687542
7.69290067,-0.4170000255,-9.660000801,-1.363050103,-0.5344625115,3.908025026,-2.310687542
7.71290067,-0.4170000255,-9.660000801,-1.363050103,-0.5344625115,3.908025026,-2.310687542
7.73290067,-0.4170000255,-9.660000801,-1.363050103,-0.5344625115,3.908025026,-2.310687542
7.75290067,-0.4170000255,-9.660000801,-1.363050103,-0.5344625115,3.908025026,-2.310687542
7.77290067,-0.4170000255,-9.660000801,-1.363050103,-0.5344625115,3.908025026,-2.310687542
7.79290067,-0.4170000255,-9.660000801,-1.363050103,-0.5344625115,3.908025026,-2.310687542
7.81290067,1.458000064,-10.00500011,3.174000263,0.1868624985,-0.678425014,0.8610249758
7.83290067,1.458000064,-10.00500011,3.174000263,0.1868624985,-0.678425014,0.8610249758
7.85290067,0.06000000238,-8.242950439,0.09105000645,0.5059999824,-1.105774999,0.5389999747
7.87290067,0.06000000238,-8.242950439,0.09105000645,0.5059999824,-1.105774999,0.5389999747
7.89290067,0.06000000238,-8.242950439,0.09105000645,0.5059999824,-1.105774999,0.5389999747
7.91290067,-0.7050000429,-6.289950371,0.2059500068,0.5059999824,-1.105774999,0.5389999747
7.93290067,-0.7050000429,-6.289950371,0.2059500068,0.5059999824,-1.105774999,0.5389999747
7.95290067,-0.7050000429,-6.289950371,0.2059500068,0.5059999824,-1.105774999,0.5389999747
7.97290067,-0.7050000429,-6.289950371,0.2059500068,0.5059999824,-1.105774999,0.5389999747
7.99290067,-0.7050000429,-6.289950371,0.2059500068,0.5059999824,-1.105774999,0.5389999747
8.01290067,-0.7050000429,-6.289950371,0.2059500068,0.5059999824,-1.105774999,0.5389999747
8.03290067,-0.7050000429,-6.289950371,0.2059500068,0.5059999824,-1.105774999,0.5389999747
8.05290067,-0.1680000126,-20.28795052,3.519000053,0.3704249859,-2.055900097,0.120312497
8.07290067,-0.1680000126,-20.28795052,3.519000053,0.3704249859,-2.055900097,0.120312497
8.09290067,-0.1680000126,-20.28795052,3.519000053,0.3704249859,-2.055900097,0.120312497
8.11290067,-0.1680000126,-20.28795052,3.519000053,0.3704249859,-2.055900097,0.120312497
8.13290067,-0.1680000126,-20.28795052,3.519000053,0.3704249859,-2.055900097,0.120312497
8.15290067,-5.683050156,-6.922050476,0.4159500301,0.3704249859,-2.055900097,0.120312497
8.17290067,-5.683050156,-6.922050476,0.4159500301,0.3704249859,-2.055900097,0.120312497
8.19290067,-5.683050156,-6.922050476,0.4159500301,-0.6875,-2.171262503,1.770587444
8.21290067,-5.683050156,-6.922050476,0.4159500301,-0.6875,-2.171262503,1.770587444
8.23290067,-5.683050156,-6.922050476,0.4159500301,-0.8492000103,-1.96776247,2.221037388
8.25290067,-5.683050156,-6.922050476,0.4159500301,-0.8492000103,-1.96776247,2.221037388
8.27290067,-5.683050156,-6.922050476,0.4159500301,-0.8492000103,-1.96776247,2.221037388
8.29290067,2.434950113,-9.43005085,-3.508050203,-0.4504500031,-1.687950015,1.36482501
8.31290067,2.434950113,-9.43005085,-3.508050203,-0.4504500031,-1.687950015,1.36482501
8.33290067,2.434950113,-9.43005085,-3.508050203,-0.4504500031,-1.687950015,1.36482501
8.35290067,2.434950113,-9.43005085,-3.508050203,-0.4504500031,-1.687950015,1.36482501
8.37290067,2.434950113,-9.43005085,-3.508050203,-0.4504500031,-1.687950015,1.36482501
8.39290067,0.4240500331,-8.701950073,2.025000095,-0.4504500031,-1.687950015,1.36482501
8.41290067,0.4240500331,-8.701950073,2.025000095,-0.4504500031,-1.687950015,1.36482501
8.43290067,-0.45600003,-12.76200104,1.411950111,0.5850625038,-2.265587568,-1.363037467
8.45290067,-0.45600003,-12.76200104,1.411950111,0.5850625038,-2.265587568,-1.363037467
8.47290067,-0.45600003,-12.76200104,1.411950111,0.5850625038,-2.265587568,-1.363037467
8.49290067,0.9990000725,-14.83005047,1.8910501,0.5850625038,-2.265587568,-1.363037467
8.51290067,0.9990000725,-14.83005047,1.8910501,0.5850625038,-2.265587568,-1.363037467
8.53290067,5.020050049,-12.95295048,-2.875950098,0.07108750194,-1.580425024,-0.8971874714
8.55290067,5.020050049,-12.95295048,-2.875950098,0.07108750194,-1.580425024,-0.8971874714
8.57290067,5.020050049,-12.95295048,-2.875950098,-0.1727000028,-0.8659750223,-0.950124979
8.59290067,5.020050049,-12.95295048,-2.875950098,-0.1727000028,-0.8659750223,-0.950124979
8.61290067,5.020050049,-12.95295048,-2.875950098,-0.1727000028,-0.8659750223,-0.950124979
8.63290067,4.693950176,-11.72805023,3.250950098,-0.5202999711,-0.02419999987,-1.17741251
8.65290067,4.693950176,-11.72805023,3.250950098,-0.5202999711,-0.02419999987,-1.17741251
8.67290067,-5.224050045,-22.47105026,3.307950258,0.5028374791,-3.808062553,-0.5127375126
8.69290067,-5.224050045,-22.47105026,3.307950258,0.5028374791,-3.808062553,-0.5127375126
8.71290067,-5.224050045,-22.47105026,3.307950258,0.5028374791,-3.808062553,-0.5127375126
8.73290067,-7.12005043,-14.98305035,7.770000458,0.5028374791,-3.808062553,-0.5127375126
8.75290067,-7.12005043,-14.98305035,7.770000458,0.5028374791,-3.808062553,-0.5127375126
8.77290067,-2.887950182,-3.724050283,-8.736000061,0.4779500067,-2.036649942,1.499850035
8.79290067,-2.887950182,-3.724050283,-8.736000061,0.4779500067,-2.036649942,1.499850035
8.81290067,-2.887950182,-3.724050283,-8.736000061,0.4779500067,-2.036649942,1.499850035
8.83290067,-2.887950182,-3.724050283,-8.736000061,0.4779500067,-2.036649942,1.499850035
8.85290067,-2.887950182,-3.724050283,-8.736000061,0.4779500067,-2.036649942,1.499850035
8.87290067,-5.338950157,-2.479050159,1.258950114,0.6527125239,0.06875000149,2.577712536
8.89290067,-5.338950157,-2.479050159,1.258950114,0.6527125239,0.06875000149,2.577712536
8.91290067,-5.338950157,-2.479050159,1.258950114,0.6527125239,0.06875000149,2.577712536
8.93290067,-5.338950157,-2.479050159,1.258950114,0.6527125239,0.06875000149,2.577712536
8.95290067,-5.338950157,-2.479050159,1.258950114,0.6527125239,0.06875000149,2.577712536
8.97290067,10.49700069,-14.44695091,2.829000235,0.6527125239,0.06875000149,2.577712536
8.99290067,10.49700069,-14.44695091,2.829000235,0.6527125239,0.06875000149,2.577712536
9.01290067,-0.7620000243,-1.656000137,1.795050144,0.3408625126,-0.8159250021,-3.062949896
9.03290067,-0.7620000243,-1.656000137,1.795050144,0.3408625126,-0.8159250021,-3.062949896
9.05290067,-0.7620000243,-1.656000137,1.795050144,0.3408625126,-0.8159250021,-3.062949896
9.07290067,-0.7620000243,-1.656000137,1.795050144,0.3408625126,-0.8159250021,-3.062949896
9.09290067,-0.7620000243,-1.656000137,1.795050144,0.3408625126,-0.8159250021,-3.062949896
9.11290067,-9.666000366,-15.92205048,-0.5779500008,-4.525400162,2.880349874,0.3625875115
9.13290067,-9.666000366,-15.92205048,-0.5779500008,-4.525400162,2.880349874,0.3625875115
9.15290067,-10.06905079,-12.58995056,1.35495007,-1.783100009,1.417487502,0.6654999852
