"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.853145012E1,7.287499961E-3,-4.743750021E-2,-4.674999975E-3
6.855145012E1,1.347499993E-2,-7.246249914E-2,-6.187499966E-3
6.857145012E1,1.347499993E-2,-7.246249914E-2,-6.187499966E-3
6.859145012E1,1.347499993E-2,-7.246249914E-2,-6.187499966E-3
6.861145012E1,1.347499993E-2,-9.308750182E-2,-6.737499963E-3
6.863145012E1,1.347499993E-2,-9.308750182E-2,-6.737499963E-3
6.865145012E1,4.399999976E-3,-6.929999590E-2,-4.262499977E-3
6.867145012E1,4.399999976E-3,-6.929999590E-2,-4.262499977E-3
6.869145012E1,-4.124999978E-4,-6.599999964E-3,-2.199999988E-3
6.871145012E1,-4.124999978E-4,-6.599999964E-3,-2.199999988E-3
6.873145012E1,-4.124999978E-4,-6.599999964E-3,-2.199999988E-3
6.875145012E1,4.124999978E-4,4.152499884E-2,-5.499999970E-4
6.877145012E1,4.124999978E-4,4.152499884E-2,-5.499999970E-4
6.879145012E1,-6.599999964E-3,5.637500063E-2,3.712499980E-3
6.881145012E1,-6.599999964E-3,5.637500063E-2,3.712499980E-3
6.883145012E1,-6.599999964E-3,5.637500063E-2,3.712499980E-3
6.885145012E1,-1.869999990E-2,1.027124971E-1,-4.262499977E-3
6.887145012E1,-1.869999990E-2,1.027124971E-1,-4.262499977E-3
6.889145012E1,-1.429999992E-2,8.524999768E-2,-2.749999985E-3
6.891145012E1,-1.429999992E-2,8.524999768E-2,-2.749999985E-3
6.893145012E1,-1.429999992E-2,8.524999768E-2,-2.749999985E-3
6.895145012E1,-1.127499994E-2,6.256250292E-2,-3.712499980E-3
6.897145012E1,-1.127499994E-2,6.256250292E-2,-3.712499980E-3
6.899145012E1,-1.828750037E-2,3.203750029E-2,-1.127499994E-2
6.901145012E1,-1.828750037E-2,3.203750029E-2,-1.127499994E-2
6.903145012E1,-1.883750036E-2,6.187499966E-3,-9.074999951E-3
6.905145012E1,-1.883750036E-2,6.187499966E-3,-9.074999951E-3
6.907145012E1,-1.883750036E-2,6.187499966E-3,-9.074999951E-3
6.909145012E1,-6.049999967E-3,-8.937500417E-3,-1.099999994E-2
6.911145012E1,-6.049999967E-3,-8.937500417E-3,-1.099999994E-2
6.913145012E1,3.437499981E-3,-1.773750037E-2,-1.567500085E-2
6.915145012E1,3.437499981E-3,-1.773750037E-2,-1.567500085E-2
6.917145012E1,3.437499981E-3,-1.773750037E-2,-1.567500085E-2
6.919145012E1,3.849999979E-3,-2.997500077E-2,-8.662499487E-3
6.921145012E1,3.849999979E-3,-2.997500077E-2,-8.662499487E-3
6.923145012E1,-5.499999970E-4,-2.612499893E-2,-9.212499484E-3
6.925145012E1,-5.499999970E-4,-2.612499893E-2,-9.212499484E-3
6.927145012E1,2.749999985E-4,-2.186249942E-2,-1.099999994E-2
6.929145012E1,2.749999985E-4,-2.186249942E-2,-1.099999994E-2
6.931145012E1,2.749999985E-4,-2.186249942E-2,-1.099999994E-2
6.933145012E1,1.512499992E-3,-1.952499896E-2,-4.537499975E-3
6.935145012E1,1.512499992E-3,-1.952499896E-2,-4.537499975E-3
6.937145012E1,-1.416249946E-2,-6.324999966E-3,-4.674999975E-3
6.939145012E1,-1.416249946E-2,-6.324999966E-3,-4.674999975E-3
6.941145012E1,-2.131249942E-2,-2.337499987E-3,-1.086249948E-2
6.943145012E1,-2.131249942E-2,-2.337499987E-3,-1.086249948E-2
6.945145012E1,-2.131249942E-2,-2.337499987E-3,-1.086249948E-2
6.947145012E1,-6.599999964E-3,-1.113750041E-2,-8.524999954E-3
6.949145012E1,-6.599999964E-3,-1.113750041E-2,-8.524999954E-3
6.951145012E1,-6.599999964E-3,-1.113750041E-2,-8.524999954E-3
6.953145012E1,-3.987499978E-3,-1.374999993E-3,-5.499999970E-3
6.955145012E1,-3.987499978E-3,-1.374999993E-3,-5.499999970E-3
6.957145012E1,-1.402499992E-2,-5.362499971E-3,-3.987499978E-3
6.959145012E1,-1.402499992E-2,-5.362499971E-3,-3.987499978E-3
6.961145012E1,-1.402499992E-2,-5.362499971E-3,-3.987499978E-3
