"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.173037864E0,2.282499894E-2,2.832499892E-2,5.788749829E-2
6.193037864E0,1.141249947E-2,9.487500414E-3,4.344999790E-2
6.213037864E0,8.662499487E-3,1.924999990E-3,3.877500072E-2
6.233037864E0,-2.474999987E-3,-9.624999948E-4,3.629999980E-2
6.253037864E0,-3.176249936E-2,8.937500417E-3,-3.574999981E-3
6.273037864E0,-3.849999979E-2,9.349999949E-3,-9.212499484E-3
6.293037864E0,-5.499999970E-2,1.979999989E-2,1.209999993E-2
6.313037864E0,-7.287500054E-2,3.726249933E-2,3.024999984E-2
6.333037864E0,-7.301250100E-2,4.042499885E-2,2.447500080E-2
6.353037864E0,-6.627500057E-2,4.963750020E-2,-3.437499981E-3
6.373037864E0,-5.128749833E-2,4.578749835E-2,-7.548750192E-2
6.393037864E0,-4.895000160E-2,4.455000162E-2,-7.919999957E-2
6.413037864E0,-4.386249930E-2,3.547500074E-2,-6.819999963E-2
6.433037864E0,-3.712499887E-2,2.323750034E-2,-3.781250119E-2
6.453037864E0,-3.808749840E-2,2.337500080E-2,-2.708750032E-2
6.473037864E0,-4.276249930E-2,1.484999992E-2,8.387500420E-3
6.493037864E0,-3.616249934E-2,4.537499975E-3,7.493750006E-2
6.513037864E0,-3.643750027E-2,2.199999988E-3,8.731249720E-2
6.533037864E0,-3.327500075E-2,-3.437499981E-3,8.635000139E-2
6.553037864E0,-2.309999987E-2,-1.911249943E-2,6.902500242E-2
6.573037864E0,-6.599999964E-3,-3.602499887E-2,4.179999977E-2
6.593037864E0,1.017499994E-2,-3.863750026E-2,1.319999993E-2
6.613037864E0,1.429999992E-2,-1.993750036E-2,1.264999993E-2
6.633037864E0,1.773750037E-2,-9.349999949E-3,1.306249946E-2
6.653037864E0,1.237499993E-2,2.199999988E-2,2.048750035E-2
6.673037864E0,1.168750040E-2,5.046249926E-2,1.608750038E-2
6.693037864E0,1.869999990E-2,4.578749835E-2,-2.337499987E-3
6.713037864E0,2.447500080E-2,4.207500070E-2,-2.873750031E-2
6.733037864E0,2.997500077E-2,3.753750026E-2,-6.572499871E-2
6.753037864E0,2.818750031E-2,3.024999984E-2,-8.758749813E-2
6.773037864E0,1.897500083E-2,2.502499893E-2,-9.913749993E-2
6.793037864E0,2.337499987E-3,2.351249941E-2,-1.203124970E-1
6.813037864E0,-8.249999955E-3,2.241249941E-2,-1.282874942E-1
6.833037864E0,-7.974999957E-3,2.227500081E-2,-8.566249907E-2
6.853037864E0,-1.581249945E-2,2.722499892E-2,-3.877500072E-2
6.873037864E0,-8.112499490E-3,2.818750031E-2,-3.657500073E-2
6.893037864E0,1.787499990E-3,1.402499992E-2,-5.541250110E-2
6.913037864E0,-1.278750040E-2,1.264999993E-2,-5.678749830E-2
6.933037864E0,-1.924999990E-2,8.799999952E-3,-3.368749842E-2
6.953037864E0,-1.402499992E-2,9.349999949E-3,1.237499993E-3
6.973037864E0,-2.172499895E-2,2.502499893E-2,2.804999985E-2
6.993037864E0,-1.691249944E-2,4.138749838E-2,4.537500069E-2
7.013037864E0,-7.837500423E-3,6.613750011E-2,3.575000167E-2
7.033037864E0,1.567500085E-2,8.126249909E-2,6.063750014E-2
7.053037864E0,4.895000160E-2,6.819999963E-2,8.607500046E-2
